,room,huskies_k
0,2,0.08
1,3,0.125
4,3,-0.16666666666666666
8,2,0.3333333333333333
11,1,-5.0
12,1,-0.8333333333333334
13,1,6.0
14,2,-12.666666666666666
15,1,-1.9090909090909092
16,1,2.909090909090909
17,1,-3.5714285714285716
18,3,3.7142857142857144
19,3,3.8
20,3,-0.5925925925925926
21,2,-2.7222222222222223
22,1,0.6444444444444445
24,1,0.75
25,2,-2.2
26,3,inf
27,3,-6.5
28,3,14.0
31,1,2.2941176470588234
32,2,-39.0
33,2,inf
34,2,0.0
35,2,inf
36,2,-1.2222222222222223
37,2,8.8
38,2,-5.0
39,2,1.8333333333333333
40,2,-2.75
41,2,17.5
42,2,4.875
43,2,0.4
44,3,-6.333333333333333
45,2,-7.75
46,2,0.6666666666666666
54,2,-0.4666666666666667
55,2,2.5
56,2,-20.0
57,2,10.75
58,2,8.5
59,2,10.5
60,3,1.625
61,3,-1.2222222222222223
62,2,13.333333333333334
63,3,33.0
76,2,-3.6666666666666665
77,1,15.0
78,3,2.3333333333333335
79,3,0.7142857142857143
80,3,-1.4285714285714286
81,3,43.0
82,3,22.0
83,3,-1.1818181818181819
84,2,27.0
85,2,2.125
86,3,-1.2666666666666666
87,2,60.0
88,2,0.4166666666666667
89,3,-0.7142857142857143
90,2,-30.0
91,2,12.0
92,3,5.0
96,5,0.8333333333333334
97,5,-0.0
98,2,-2.2
99,2,15.5
100,2,-29.0
101,1,3.0
102,2,4.25
103,3,-3.0
104,2,2.0
105,3,0.9696969696969697
108,2,1.12
109,2,-31.0
113,2,-1.3333333333333333
132,1,-13.5
133,1,2.0
134,2,-2.5
135,2,15.0
136,2,-8.75
137,4,1.0
138,3,-3.823529411764706
139,4,inf
140,4,0.75
141,4,4.5
142,4,0.4
143,4,-7.5
144,4,-22.5
145,4,2.6153846153846154
146,4,-10.6
149,2,-1.5555555555555556
150,1,17.0
151,2,6.166666666666667
152,2,1.5384615384615385
153,2,0.058823529411764705
154,2,-0.5294117647058824
155,1,1.1875
156,3,1.2
157,3,-0.3333333333333333
158,2,-4.833333333333333
159,2,2.7
160,2,10.75
161,3,2.0833333333333335
162,3,1.8571428571428572
163,4,1.0
164,3,-2.0
165,3,7.5
166,4,-5.5
167,3,-4.25
168,3,2.8181818181818183
169,4,-1.5
170,3,-2.5384615384615383
171,3,3.875
172,3,0.5833333333333334
173,4,-2.5
174,3,-3.3333333333333335
175,3,1.4545454545454546
176,4,-0.7647058823529411
177,3,-9.0
178,3,2.3846153846153846
179,3,1.25
180,4,0.047619047619047616
181,5,10.333333333333334
182,3,inf
183,3,-0.7272727272727273
184,3,-1.25
185,1,-1.875
186,1,1.8055555555555556
187,3,-0.0
188,3,-0.6666666666666666
189,2,-8.0
190,2,2.9166666666666665
191,3,0.2777777777777778
192,4,-7.333333333333333
193,3,-2.909090909090909
194,3,-1.4285714285714286
195,2,6.25
196,3,inf
197,3,1.0555555555555556
198,3,0.8888888888888888
199,4,2.2222222222222223
200,4,-3.3333333333333335
201,1,1.8620689655172413
202,2,-5.4
203,2,4.333333333333333
204,2,1.0833333333333333
205,3,-0.8888888888888888
206,3,-4.0
207,2,3.4545454545454546
208,3,4.666666666666667
209,3,2.1666666666666665
210,3,2.5
211,3,-1.0
213,2,0.8333333333333334
214,3,-17.5
215,3,5.4
216,3,inf
217,3,8.75
224,1,-25.0
225,1,1.5862068965517242
226,2,-0.6428571428571429
227,2,4.571428571428571
228,2,20.5
229,2,-15.0
230,2,-5.142857142857143
231,2,4.2
232,3,0.6363636363636364
233,3,-8.0
234,3,inf
235,3,0.16666666666666666
236,4,-0.03333333333333333
237,2,3.2857142857142856
238,3,-4.333333333333333
239,2,6.0
240,3,0.42105263157894735
241,4,-0.0
242,3,5.833333333333333
243,3,inf
244,3,19.0
245,3,inf
251,2,2.0
252,3,-0.6
253,2,-3.090909090909091
254,2,inf
255,2,19.25
256,3,2.5
261,2,-0.5
262,2,9.0
263,2,-2.125
264,1,49.0
265,1,2.230769230769231
266,3,-4.0
270,1,0.17647058823529413
271,3,-1.375
272,2,0.25
273,3,2.4166666666666665
274,3,-1.9285714285714286
275,3,2.357142857142857
276,3,-10.0
277,3,0.0
278,4,-1.8333333333333333
279,4,0.2
280,4,1.2
281,4,0.2
285,3,0.7272727272727273
286,4,3.8333333333333335
291,2,-0.25
292,1,0.24324324324324326
293,3,25.0
300,2,-8.333333333333334
301,2,14.0
302,2,3.7
303,2,0.5
307,2,-8.5
308,2,-19.0
309,3,3.0
310,3,0.3
311,4,-2.6666666666666665
312,4,1.6
313,5,9.4
319,3,-0.9130434782608695
320,2,3.2857142857142856
322,1,-2.7777777777777777
323,3,0.4
324,4,-1.0588235294117647
325,3,-0.2857142857142857
326,2,25.0
327,2,3.3333333333333335
328,3,1.3333333333333333
329,3,-0.5
330,3,-8.333333333333334
331,3,0.3333333333333333
336,2,0.9411764705882353
337,3,-0.11764705882352941
338,2,-5.0
339,2,-1.3846153846153846
340,2,-19.0
341,2,-0.7857142857142857
342,1,1.3636363636363635
348,2,5.142857142857143
349,3,13.5
350,3,3.2222222222222223
351,5,-2.0
352,3,0.44680851063829785
353,4,-1.9090909090909092
355,2,11.0
356,2,1.75
360,1,0.0
363,1,0.2222222222222222
364,2,9.5
365,2,-1.7777777777777777
368,3,0.15151515151515152
369,4,3.75
370,4,0.16666666666666666
371,4,-2.2
372,3,-2.0
373,3,8.0
374,3,-1.0
375,3,1.3
376,4,-2.5
377,3,6.25
378,3,1.6
379,4,-2.0
380,4,2.3703703703703702
381,5,-1.1818181818181819
389,1,-2.0
390,1,1.2
395,3,-4.0
396,5,-0.36363636363636365
397,4,2.0
400,4,-0.1875
401,3,-3.9166666666666665
402,2,-20.0
403,2,1.6
404,4,4.6
406,4,-7.0
407,4,4.0
408,4,-0.0
409,4,inf
410,4,-4.5
411,4,0.5555555555555556
412,4,3.9
414,2,1.0625
415,2,0.20754716981132076
416,5,-0.5
417,3,3.25
418,3,-13.5
419,3,1.5555555555555556
420,4,1.2666666666666666
421,3,13.0
422,3,5.25
423,3,-1.2352941176470589
424,2,2.4
425,3,32.0
426,3,1.4545454545454546
427,3,-3.0
428,3,-1.7272727272727273
429,3,-0.25
430,2,-16.0
431,2,0.8666666666666667
432,3,-4.6
433,2,2.3333333333333335
434,3,inf
435,3,1.375
436,3,-0.5384615384615384
437,3,-3.0
438,3,0.8333333333333334
439,2,-0.8333333333333334
441,1,5.111111111111111
442,3,-13.0
443,3,-0.875
444,3,2.0
449,1,2.4
450,2,3.0
451,3,2.5714285714285716
452,3,0.25806451612903225
453,4,23.0
454,5,-11.0
455,4,-5.0
456,4,-2.0
457,4,3.0
458,4,3.4444444444444446
459,4,-5.5
460,4,-6.2
461,4,6.125
462,4,inf
463,4,4.333333333333333
464,2,inf
465,2,6.666666666666667
466,2,1.1875
469,5,-0.6666666666666666
470,5,6.0
472,5,-3.0
473,5,-36.0
477,2,0.7647058823529411
478,3,0.7647058823529411
479,4,-2.2
480,4,-0.3076923076923077
481,3,6.166666666666667
486,5,-0.8125
493,2,3.4166666666666665
494,2,-1.5714285714285714
498,2,1.125
511,4,0.4666666666666667
512,5,-0.125
513,3,-4.2
514,3,-1.8571428571428572
534,1,1.3125
536,4,2.5
537,4,0.38095238095238093
542,1,-3.6153846153846154
543,1,1.1224489795918366
544,3,-0.6428571428571429
545,3,-1.8333333333333333
546,2,0.1
547,3,-1.3
548,2,5.666666666666667
549,3,-2.4545454545454546
551,3,3.5
552,5,-0.4
553,4,4.666666666666667
558,2,1.625
559,2,5.777777777777778
561,4,0.4583333333333333
562,5,-0.2222222222222222
563,4,1.0
564,5,9.0
